,name,curprice,pcr,resistance,support,CallChngInLTP,PutChngInLTP,CoiMaxAdd,CoiMaxExit,callprob,putprob
0,BANKNIFTY_14-10-2018_22:03.csv,25395.85,1.1107794742279875,"26000.0,25500.0,26500.0,25700.0,","25000.0,24500.0,24000.0,24700.0,","76.64,65.05,77.02,70.3,","-168.88,-268.54,-374.79,-223.19,","26000.0,26500.0,25000.0,24500.0,","25000.0,24800.0,23500.0,23400.0,","68.45,53.71,79.99,60.1,","59.69,70.41,78.13,66.46,"
1,BANKNIFTY_14-10-2018_22:41.csv,25395.85,1.1107794742279875,"26000.0,25500.0,26500.0,25700.0,","25000.0,24500.0,24000.0,24700.0,","76.64,65.05,77.02,70.3,","-168.88,-268.54,-374.79,-223.19,","26000.0,26500.0,25000.0,24500.0,","25000.0,24800.0,23500.0,23400.0,","68.45,53.71,79.99,60.1,","59.69,70.41,78.13,66.46,"
2,BANKNIFTY_15-10-2018_12:30.csv,25335.2,1.0755930515749674,"25500.0,26000.0,25700.0,25800.0,","25000.0,24500.0,24700.0,24000.0,","-43.12,-94.24,-59.14,-71.74,","-14.39,-80.64,-45.42,-170.45,","25500.0,25700.0,24500.0,25000.0,","26400.0,27000.0,23700.0,23500.0,","53.9,65.0,58.52,60.72,","56.36,65.51,61.93,72.69,"
3,BANKNIFTY_15-10-2018_15:32.csv,25402.95,1.2495365416208233,"26000.0,25500.0,25700.0,25800.0,","25000.0,24500.0,24000.0,24700.0,","-143.46,-42.38,-73.69,-93.94,","-37.31,-103.61,-155.91,-69.91,","26000.0,25700.0,25000.0,24500.0,","26400.0,27000.0,23500.0,23300.0,","65.13,52.65,57.91,60.43,","58.18,67.45,73.38,63.85,"
4,BANKNIFTY_16-10-2018_09:30.csv,25388.05,1.218627997769102,"26000.0,25500.0,25700.0,25800.0,","25000.0,24500.0,24000.0,24700.0,","-141.83,-38.66,-70.06,-89.75,","-35.79,-85.16,-138.0,-61.57,","26000.0,25700.0,24500.0,25000.0,","26400.0,27000.0,23300.0,23500.0,","65.18,52.83,57.97,60.4,","57.62,66.05,72.22,62.81,"
5,BANKNIFTY_16-10-2018_11:50.csv,25681.85,1.2058374220448949,"26000.0,25800.0,25700.0,26200.0,","25000.0,24500.0,25500.0,24000.0,","32.31,38.77,40.7,18.69,","-347.36,-322.76,-171.28,-250.0,","26000.0,25800.0,25500.0,25000.0,","25400.0,25300.0,23000.0,22800.0,","57.21,52.71,50.42,61.84,","62.15,67.41,53.64,70.68,"
6,BANKNIFTY_16-10-2018_15:32.csv,25558.7,1.1682062753158815,"26000.0,25900.0,25800.0,25700.0,","25000.0,24500.0,25500.0,25300.0,","-44.72,-17.49,-2.46,7.68,","-376.76,-348.28,-159.2,-254.73,","26000.0,25900.0,25500.0,25400.0,","25300.0,25500.0,24000.0,23000.0,","61.78,59.11,56.33,53.66,","61.81,67.32,51.6,56.51,"
7,BANKNIFTY_17-10-2018_09:30.csv,25827.85,1.1507448835051042,"26000.0,26100.0,26200.0,25900.0,","25500.0,25000.0,25400.0,25600.0,","21.1,-16.15,-127.5,35.2,","-1580.53,-2112.5,-2447.06,-732.42,","26000.0,26100.0,25500.0,25700.0,","25700.0,25600.0,24700.0,25100.0,","100.0,100.0,100.0,100.0,","100.0,100.0,100.0,100.0,"
8,BANKNIFTY_17-10-2018_11:50.csv,25571.0,0.9260931014475504,"26000.0,25800.0,25900.0,26100.0,","25400.0,25500.0,25300.0,25000.0,","-980.56,-326.76,-605.0,-1977.78,","-711.88,-254.29,-1607.55,-2850.0,","26000.0,25800.0,25400.0,25500.0,","25400.0,25200.0,24700.0,24500.0,","100.0,100.0,100.0,100.0,","100.0,100.0,100.0,100.0,"
9,BANKNIFTY_17-10-2018_15:32.csv,25195.3,0.42763598505648254,"26000.0,25500.0,25700.0,25600.0,","25100.0,25000.0,24500.0,24000.0,","-38800.0,-379200.0,-189600.0,-276900.0,","-44600.0,-35300.0,-9400.0,-3900.0,","25500.0,25600.0,25100.0,24000.0,","26600.0,25000.0,25300.0,25400.0,","100.0,100.0,100.0,100.0,","100.0,100.0,100.0,100.0,"
10,BANKNIFTY_18-10-2018_09:30.csv,25188.6,0.3751922540284114,"26000.0,25500.0,25700.0,25600.0,","25100.0,25000.0,24500.0,24000.0,","-38800.0,-379200.0,-189600.0,-276900.0,","-44600.0,-35300.0,-9400.0,-3900.0,","25500.0,25600.0,25100.0,24000.0,","25000.0,26600.0,25500.0,25300.0,","100.0,100.0,100.0,100.0,","100.0,100.0,100.0,100.0,"
11,BANKNIFTY_18-10-2018_11:50.csv,25188.6,0.3751922540284114,"26000.0,25500.0,25700.0,25600.0,","25100.0,25000.0,24500.0,24000.0,","-38800.0,-379200.0,-189600.0,-276900.0,","-44600.0,-35300.0,-9400.0,-3900.0,","25500.0,25600.0,25100.0,24000.0,","25000.0,26600.0,25500.0,25300.0,","100.0,100.0,100.0,100.0,","100.0,100.0,100.0,100.0,"
12,BANKNIFTY_18-10-2018_15:32.csv,25188.6,0.3751922540284114,"26000.0,25500.0,25700.0,25600.0,","25100.0,25000.0,24500.0,24000.0,","-38800.0,-379200.0,-189600.0,-276900.0,","-44600.0,-35300.0,-9400.0,-3900.0,","25500.0,25600.0,25100.0,24000.0,","25000.0,26600.0,25500.0,25300.0,","100.0,100.0,100.0,100.0,","100.0,100.0,100.0,100.0,"
13,BANKNIFTY_19-10-2018_09:30.csv,25239.95,0.8290733897026101,"26000.0,25500.0,26500.0,25800.0,","24500.0,25000.0,24000.0,23500.0,","7.2,13.89,0.84,13.35,","-36.8,-25.79,-55.27,-83.65,","25800.0,25000.0,24800.0,24000.0,","26500.0,27000.0,25200.0,26500.0,","73.51,58.31,83.93,67.89,","68.5,56.73,77.2,83.51,"
