,name,curprice,pcr,resistance,support,CallChngInLTP,PutChngInLTP,CoiMaxAdd,CoiMaxExit,callprob,putprob
0,NIFTY_14-10-2018_22:03.csv,10472.5,0.9889648043280604,"11000.0,10800.0,10700.0,11500.0,","10000.0,10200.0,9500.0,10400.0,","47.8,67.41,68.46,14.29,","-162.97,-151.49,-95.02,-121.8,","10700.0,10650.0,10100.0,10400.0,","10500.0,10400.0,9900.0,10700.0,","91.81,80.94,72.65,96.62,","80.01,70.32,91.16,56.18,"
1,NIFTY_14-10-2018_22:41.csv,10472.5,0.9889648043280604,"11000.0,10800.0,10700.0,11500.0,","10000.0,10200.0,9500.0,10400.0,","47.8,67.41,68.46,14.29,","-162.97,-151.49,-95.02,-121.8,","10700.0,10650.0,10100.0,10400.0,","10500.0,10400.0,9900.0,10700.0,","91.81,80.94,72.65,96.62,","80.01,70.32,91.16,56.18,"
2,NIFTY_15-10-2018_12:30.csv,10471.05,0.9558495165703644,"11000.0,10800.0,10500.0,10600.0,","10000.0,10200.0,9500.0,10400.0,","-39.66,-37.86,-12.83,-18.33,","-18.81,-7.44,-50.34,0.64,","10600.0,10800.0,9500.0,10200.0,","11100.0,11600.0,9700.0,11000.0,","89.9,80.44,52.98,63.06,","78.55,69.18,90.27,55.51,"
3,NIFTY_15-10-2018_15:32.csv,10519.85,0.9825896977599368,"11000.0,10700.0,10800.0,11500.0,","10000.0,10200.0,10400.0,9500.0,","-3.85,5.0,0.53,-16.33,","-45.99,-30.37,-22.4,-62.69,","10700.0,10800.0,10400.0,9500.0,","10400.0,11100.0,9700.0,11000.0,","88.18,67.75,76.49,94.68,","80.91,72.26,59.42,90.74,"
4,NIFTY_16-10-2018_09:30.csv,10569.7,0.9702965020005108,"11000.0,10700.0,10800.0,11500.0,","10000.0,10200.0,10400.0,9500.0,","5.52,13.61,13.66,-4.44,","-43.96,-36.63,-28.25,-31.37,","10600.0,10900.0,10500.0,10400.0,","11000.0,10400.0,9700.0,10000.0,","85.98,63.39,72.7,93.57,","82.6,74.68,62.81,90.81,"
5,NIFTY_16-10-2018_11:50.csv,10555.35,0.9849837234255372,"11000.0,10700.0,10800.0,10600.0,","10000.0,10500.0,10400.0,10200.0,","-14.07,-0.49,-4.71,2.04,","-55.43,-25.84,-34.55,-48.92,","10600.0,10700.0,10500.0,10600.0,","10500.0,10200.0,9700.0,9500.0,","87.64,65.44,74.94,54.93,","82.68,54.53,62.31,74.85,"
6,NIFTY_16-10-2018_15:32.csv,10575.75,1.0088534290773388,"11000.0,10800.0,10700.0,10600.0,","10000.0,10400.0,10500.0,10200.0,","-12.41,5.76,10.23,14.59,","-133.15,-73.27,-54.66,-112.85,","10600.0,10900.0,10500.0,10400.0,","10500.0,10400.0,9500.0,9700.0,","100.0,100.0,100.0,52.66,","100.0,65.05,100.0,100.0,"
7,NIFTY_17-10-2018_09:30.csv,10660.35,1.011935626448185,"11000.0,10800.0,10700.0,10900.0,","10000.0,10500.0,10400.0,10200.0,","-0.71,16.53,18.26,7.67,","-50.78,-63.83,-71.58,-80.09,","10900.0,11000.0,10600.0,10700.0,","10600.0,10400.0,10400.0,10300.0,","84.41,67.32,55.16,77.66,","86.3,64.12,71.29,81.43,"
8,NIFTY_17-10-2018_11:50.csv,10568.1,0.9427004755952124,"11000.0,10700.0,10800.0,10900.0,","10000.0,10500.0,10400.0,10200.0,","-71.95,-36.4,-53.21,-70.99,","-14.2,-2.87,-7.57,-18.45,","10700.0,10900.0,10600.0,10700.0,","11600.0,10400.0,9700.0,10100.0,","88.4,65.14,75.52,83.59,","83.7,56.15,64.4,76.96,"
9,NIFTY_17-10-2018_15:32.csv,10454.2,0.8540591367280121,"11000.0,10700.0,10800.0,10600.0,","10000.0,10400.0,9500.0,10200.0,","-127.42,-212.8,-246.51,-174.37,","31.8,40.59,-12.16,40.06,","11000.0,10700.0,10600.0,10350.0,","11600.0,11400.0,10000.0,10200.0,","89.7,75.75,82.92,66.74,","80.09,54.78,89.83,69.82,"
