,Name,Curprice,R1,R2,R3,R4,S1,S2,S3,S4
0,YESBANK_16-01-2019_23:37,207.8,210.0,220.0,250.0,230.0,180.0,200.0,190.0,170.0
1,YESBANK_16-01-2019_23:39,207.8,210.0,220.0,250.0,230.0,180.0,200.0,190.0,170.0
2,YESBANK_16-01-2019_23:44,207.8,210.0,220.0,250.0,230.0,180.0,200.0,190.0,170.0
3,YESBANK_17-01-2019_09:00,207.8,210.0,220.0,250.0,230.0,180.0,200.0,190.0,170.0
4,YESBANK_17-01-2019_09:30,206.85,210.0,220.0,250.0,230.0,180.0,200.0,190.0,170.0
5,YESBANK_17-01-2019_10:00,205.4,210.0,220.0,250.0,230.0,180.0,200.0,190.0,170.0
6,YESBANK_17-01-2019_10:30,203.1,210.0,220.0,250.0,205.0,180.0,200.0,190.0,170.0
7,YESBANK_17-01-2019_11:00,203.9,210.0,220.0,250.0,205.0,180.0,200.0,190.0,170.0
8,YESBANK_17-01-2019_11:30,203.25,210.0,220.0,250.0,205.0,180.0,200.0,190.0,170.0
9,YESBANK_17-01-2019_12:00,203.1,210.0,220.0,250.0,205.0,180.0,200.0,190.0,170.0
10,YESBANK_17-01-2019_12:30,202.8,210.0,220.0,250.0,205.0,180.0,200.0,190.0,170.0
11,YESBANK_17-01-2019_13:00,203.3,210.0,220.0,250.0,205.0,180.0,200.0,190.0,170.0
12,YESBANK_17-01-2019_13:30,202.75,210.0,220.0,250.0,205.0,180.0,200.0,190.0,170.0
13,YESBANK_17-01-2019_14:00,202.5,210.0,220.0,250.0,205.0,180.0,200.0,190.0,170.0
14,YESBANK_17-01-2019_14:30,203.25,210.0,220.0,250.0,205.0,180.0,190.0,200.0,170.0
15,YESBANK_17-01-2019_15:00,203.35,210.0,220.0,250.0,205.0,180.0,190.0,200.0,170.0
16,YESBANK_17-01-2019_15:25,201.5,210.0,220.0,250.0,205.0,180.0,200.0,190.0,170.0
17,YESBANK_17-01-2019_15:32,200.65,210.0,220.0,250.0,205.0,180.0,200.0,190.0,170.0
18,YESBANK_18-01-2019_09:00,200.65,210.0,220.0,250.0,205.0,180.0,200.0,190.0,170.0
19,YESBANK_18-01-2019_09:30,197.8,210.0,200.0,220.0,250.0,180.0,190.0,170.0,185.0
20,YESBANK_18-01-2019_10:00,198.3,210.0,200.0,220.0,250.0,180.0,190.0,170.0,185.0
21,YESBANK_18-01-2019_10:30,197.95,210.0,200.0,220.0,250.0,180.0,170.0,190.0,185.0
22,YESBANK_18-01-2019_11:00,199.0,210.0,200.0,220.0,250.0,180.0,170.0,190.0,185.0
23,YESBANK_18-01-2019_11:30,199.65,210.0,200.0,220.0,250.0,180.0,170.0,190.0,185.0
24,YESBANK_18-01-2019_12:00,201.4,210.0,220.0,250.0,205.0,180.0,170.0,200.0,190.0
25,YESBANK_18-01-2019_12:30,200.35,210.0,220.0,250.0,205.0,180.0,170.0,200.0,190.0
26,YESBANK_18-01-2019_13:00,200.65,210.0,220.0,250.0,205.0,180.0,170.0,200.0,190.0
27,YESBANK_18-01-2019_13:30,200.0,210.0,200.0,220.0,250.0,180.0,170.0,190.0,185.0
28,YESBANK_18-01-2019_14:00,200.25,210.0,220.0,250.0,205.0,180.0,170.0,200.0,190.0
29,YESBANK_18-01-2019_14:30,199.45,210.0,200.0,220.0,250.0,180.0,170.0,190.0,185.0
30,YESBANK_18-01-2019_15:00,197.9,210.0,200.0,220.0,250.0,180.0,170.0,190.0,185.0
31,YESBANK_18-01-2019_15:25,198.65,210.0,200.0,220.0,250.0,180.0,170.0,190.0,185.0
32,YESBANK_18-01-2019_15:32,199.0,210.0,200.0,220.0,250.0,180.0,170.0,190.0,185.0
33,YESBANK_21-01-2019_09:00,198.95,210.0,200.0,220.0,250.0,180.0,170.0,190.0,185.0
34,YESBANK_21-01-2019_09:30,200.1,210.0,220.0,250.0,230.0,180.0,170.0,190.0,200.0
35,YESBANK_21-01-2019_10:00,199.15,210.0,200.0,220.0,250.0,180.0,170.0,190.0,185.0
36,YESBANK_21-01-2019_10:30,198.15,210.0,200.0,220.0,250.0,180.0,170.0,190.0,185.0
37,YESBANK_21-01-2019_11:00,197.0,210.0,200.0,220.0,250.0,180.0,170.0,190.0,185.0
38,YESBANK_21-01-2019_11:30,197.2,210.0,200.0,220.0,250.0,180.0,170.0,190.0,185.0
39,YESBANK_21-01-2019_12:00,197.2,210.0,200.0,220.0,250.0,180.0,170.0,190.0,160.0
40,YESBANK_21-01-2019_12:30,196.4,210.0,200.0,220.0,250.0,180.0,170.0,190.0,160.0
41,YESBANK_21-01-2019_13:00,196.75,210.0,200.0,220.0,250.0,180.0,170.0,190.0,160.0
42,YESBANK_21-01-2019_13:30,195.45,210.0,200.0,220.0,250.0,180.0,170.0,190.0,160.0
43,YESBANK_21-01-2019_14:00,193.9,210.0,200.0,220.0,250.0,180.0,170.0,190.0,185.0
44,YESBANK_21-01-2019_14:30,193.55,210.0,200.0,220.0,250.0,180.0,170.0,190.0,185.0
45,YESBANK_21-01-2019_15:00,193.05,210.0,200.0,220.0,250.0,180.0,170.0,190.0,185.0
46,YESBANK_21-01-2019_15:25,191.4,210.0,200.0,220.0,250.0,180.0,170.0,190.0,185.0
47,YESBANK_21-01-2019_15:32,191.15,210.0,200.0,220.0,250.0,180.0,170.0,190.0,160.0
48,YESBANK_21-01-2019_16:03,191.2,210.0,200.0,220.0,250.0,180.0,170.0,190.0,160.0
49,YESBANK_21-01-2019_16:08,191.2,210.0,200.0,220.0,250.0,180.0,170.0,190.0,160.0
50,YESBANK_22-01-2019_09:00,191.2,210.0,200.0,220.0,250.0,180.0,170.0,190.0,160.0
51,YESBANK_22-01-2019_09:30,189.75,210.0,200.0,220.0,250.0,180.0,170.0,160.0,185.0
52,YESBANK_22-01-2019_10:00,191.9,210.0,200.0,220.0,250.0,180.0,170.0,190.0,160.0
53,YESBANK_22-01-2019_10:30,190.9,210.0,200.0,220.0,250.0,180.0,170.0,190.0,160.0
54,YESBANK_22-01-2019_11:00,190.65,210.0,200.0,220.0,250.0,180.0,170.0,190.0,160.0
55,YESBANK_22-01-2019_11:30,191.6,210.0,200.0,220.0,250.0,180.0,170.0,190.0,160.0
56,YESBANK_22-01-2019_12:00,191.4,210.0,200.0,220.0,250.0,180.0,170.0,190.0,160.0
57,YESBANK_22-01-2019_12:30,191.0,210.0,200.0,220.0,250.0,180.0,170.0,190.0,160.0
58,YESBANK_22-01-2019_13:00,190.85,210.0,200.0,220.0,250.0,180.0,170.0,190.0,160.0
59,YESBANK_22-01-2019_13:30,190.85,210.0,200.0,220.0,250.0,180.0,170.0,190.0,160.0
60,YESBANK_22-01-2019_14:00,191.85,210.0,200.0,220.0,250.0,180.0,170.0,190.0,160.0
61,YESBANK_22-01-2019_14:30,191.2,210.0,200.0,220.0,250.0,180.0,170.0,190.0,160.0
62,YESBANK_22-01-2019_15:00,191.6,210.0,200.0,220.0,250.0,180.0,170.0,190.0,160.0
63,YESBANK_22-01-2019_15:25,192.2,210.0,200.0,220.0,250.0,180.0,170.0,190.0,160.0
64,YESBANK_22-01-2019_15:32,193.55,210.0,200.0,220.0,250.0,180.0,170.0,190.0,160.0
65,YESBANK_23-01-2019_09:00,193.55,210.0,200.0,220.0,250.0,180.0,170.0,190.0,160.0
66,YESBANK_23-01-2019_09:30,194.7,210.0,200.0,220.0,250.0,180.0,170.0,190.0,160.0
67,YESBANK_23-01-2019_10:00,195.65,210.0,200.0,220.0,250.0,180.0,170.0,190.0,160.0
68,YESBANK_23-01-2019_10:30,194.85,210.0,200.0,220.0,250.0,180.0,170.0,190.0,160.0
69,YESBANK_23-01-2019_11:00,195.0,210.0,200.0,220.0,250.0,180.0,170.0,190.0,160.0
70,YESBANK_23-01-2019_11:30,195.5,210.0,200.0,220.0,250.0,180.0,170.0,190.0,185.0
71,YESBANK_23-01-2019_12:00,196.55,210.0,200.0,220.0,250.0,180.0,170.0,190.0,185.0
72,YESBANK_23-01-2019_12:30,196.85,210.0,200.0,220.0,250.0,180.0,170.0,190.0,185.0
73,YESBANK_23-01-2019_13:00,196.5,210.0,200.0,220.0,250.0,180.0,170.0,190.0,185.0
74,YESBANK_23-01-2019_13:30,198.05,210.0,200.0,220.0,250.0,180.0,170.0,190.0,185.0
75,YESBANK_23-01-2019_14:00,198.1,210.0,200.0,220.0,250.0,180.0,170.0,190.0,185.0
76,YESBANK_23-01-2019_14:30,197.8,210.0,200.0,220.0,250.0,180.0,170.0,190.0,185.0
77,YESBANK_23-01-2019_15:00,198.75,210.0,200.0,220.0,250.0,180.0,170.0,190.0,185.0
78,YESBANK_23-01-2019_15:25,196.9,210.0,200.0,220.0,250.0,180.0,170.0,190.0,185.0
79,YESBANK_23-01-2019_15:32,197.25,210.0,200.0,220.0,250.0,180.0,190.0,170.0,185.0
80,YESBANK_24-01-2019_09:00,197.25,210.0,200.0,220.0,250.0,180.0,170.0,190.0,185.0
81,YESBANK_24-01-2019_09:30,196.1,210.0,200.0,220.0,250.0,180.0,190.0,170.0,185.0
82,YESBANK_24-01-2019_10:00,197.25,210.0,200.0,220.0,250.0,180.0,190.0,170.0,185.0
83,YESBANK_24-01-2019_10:30,195.95,210.0,200.0,220.0,250.0,180.0,190.0,170.0,185.0
84,YESBANK_24-01-2019_10:40,193.9,210.0,200.0,220.0,250.0,180.0,190.0,170.0,185.0
85,YESBANK_24-01-2019_11:00,195.05,210.0,200.0,220.0,250.0,180.0,190.0,170.0,185.0
86,YESBANK_24-01-2019_11:30,194.15,210.0,200.0,220.0,250.0,180.0,190.0,170.0,185.0
87,YESBANK_24-01-2019_12:00,193.6,210.0,200.0,220.0,250.0,180.0,190.0,170.0,185.0
88,YESBANK_24-01-2019_12:30,194.9,210.0,200.0,220.0,250.0,180.0,190.0,170.0,185.0
89,YESBANK_24-01-2019_13:00,193.75,200.0,210.0,220.0,250.0,180.0,190.0,170.0,185.0
90,YESBANK_24-01-2019_13:30,194.7,200.0,210.0,220.0,250.0,180.0,190.0,170.0,185.0
91,YESBANK_24-01-2019_14:00,193.45,200.0,210.0,220.0,250.0,180.0,190.0,170.0,185.0
92,YESBANK_24-01-2019_14:30,193.45,200.0,210.0,220.0,250.0,180.0,190.0,170.0,185.0
93,YESBANK_24-01-2019_15:00,193.8,200.0,210.0,220.0,250.0,180.0,190.0,170.0,185.0
94,YESBANK_24-01-2019_15:25,223.0,230.0,250.0,240.0,300.0,180.0,200.0,190.0,170.0
95,YESBANK_24-01-2019_15:32,225.5,230.0,250.0,240.0,300.0,180.0,200.0,190.0,170.0
96,YESBANK_24-01-2019_16:57,225.5,230.0,250.0,240.0,300.0,180.0,200.0,190.0,170.0
97,YESBANK_24-01-2019_17:00,225.5,230.0,250.0,240.0,300.0,180.0,200.0,190.0,170.0
98,YESBANK_25-01-2019_09:00,225.5,230.0,250.0,240.0,300.0,180.0,200.0,190.0,170.0
99,YESBANK_25-01-2019_09:30,230.8,250.0,240.0,300.0,260.0,200.0,180.0,190.0,210.0
100,YESBANK_25-01-2019_10:00,227.45,250.0,230.0,240.0,260.0,200.0,180.0,210.0,190.0
101,YESBANK_25-01-2019_10:30,226.8,250.0,230.0,240.0,300.0,200.0,180.0,220.0,210.0
102,YESBANK_25-01-2019_11:00,225.75,230.0,250.0,240.0,300.0,200.0,180.0,220.0,210.0
103,YESBANK_25-01-2019_11:30,226.45,230.0,250.0,240.0,300.0,200.0,180.0,220.0,210.0
104,YESBANK_25-01-2019_12:00,228.45,230.0,250.0,240.0,300.0,200.0,220.0,180.0,210.0
105,YESBANK_25-01-2019_12:30,228.85,240.0,250.0,230.0,260.0,200.0,180.0,210.0,220.0
106,YESBANK_25-01-2019_13:00,228.9,240.0,250.0,230.0,260.0,200.0,180.0,210.0,220.0
107,YESBANK_25-01-2019_13:30,227.1,240.0,230.0,250.0,260.0,200.0,180.0,210.0,220.0
108,YESBANK_25-01-2019_14:00,225.55,240.0,250.0,230.0,260.0,200.0,180.0,210.0,220.0
109,YESBANK_25-01-2019_14:30,224.25,240.0,250.0,230.0,260.0,200.0,180.0,210.0,220.0
110,YESBANK_25-01-2019_15:00,220.6,240.0,230.0,250.0,260.0,200.0,180.0,210.0,190.0
111,YESBANK_25-01-2019_15:25,218.15,240.0,230.0,250.0,220.0,200.0,180.0,210.0,190.0
112,YESBANK_25-01-2019_15:32,219.95,240.0,230.0,250.0,220.0,200.0,180.0,210.0,190.0
113,YESBANK_28-01-2019_09:00,219.95,240.0,230.0,250.0,220.0,200.0,180.0,210.0,190.0
114,YESBANK_28-01-2019_09:30,217.05,240.0,230.0,250.0,220.0,200.0,180.0,210.0,190.0
115,YESBANK_28-01-2019_10:00,215.5,240.0,230.0,250.0,220.0,200.0,180.0,210.0,190.0
116,YESBANK_28-01-2019_10:30,214.0,240.0,230.0,250.0,220.0,200.0,180.0,210.0,190.0
117,YESBANK_28-01-2019_11:00,213.85,240.0,230.0,250.0,220.0,200.0,180.0,190.0,210.0
118,YESBANK_28-01-2019_11:30,211.25,240.0,230.0,250.0,220.0,200.0,180.0,190.0,210.0
119,YESBANK_28-01-2019_12:00,211.75,230.0,240.0,250.0,220.0,200.0,180.0,190.0,210.0
120,YESBANK_28-01-2019_12:30,211.5,230.0,240.0,220.0,250.0,200.0,180.0,190.0,210.0
