,Name,Curprice,R1,R2,R3,R4,S1,S2,S3,S4
0,HDFC_14-10-2018_22:03,1735.85,1800.0,1900.0,2000.0,1760.0,1700.0,1660.0,1600.0,1640.0
1,HDFC_14-10-2018_22:41,1735.85,1800.0,1900.0,2000.0,1760.0,1700.0,1660.0,1600.0,1640.0
2,HDFC_15-10-2018_12:30,1734.6,1800.0,1900.0,2000.0,1740.0,1700.0,1660.0,1640.0,1600.0
3,HDFC_15-10-2018_15:32,1732.3,1800.0,1900.0,2000.0,1740.0,1700.0,1660.0,1600.0,1640.0
4,HDFC_16-10-2018_09:30,1735.85,1800.0,1900.0,2000.0,1760.0,1700.0,1660.0,1600.0,1640.0
5,HDFC_16-10-2018_11:50,1762.0,1800.0,1900.0,2000.0,1780.0,1700.0,1740.0,1660.0,1600.0
6,HDFC_16-10-2018_15:32,1758.1,1800.0,1900.0,2000.0,1760.0,1700.0,1740.0,1660.0,1600.0
7,HDFC_17-10-2018_09:30,1763.05,1800.0,1900.0,2000.0,1780.0,1700.0,1740.0,1660.0,1600.0
8,HDFC_17-10-2018_11:50,1756.0,1800.0,1900.0,1760.0,2000.0,1700.0,1740.0,1660.0,1600.0
9,HDFC_17-10-2018_15:32,1748.0,1800.0,1900.0,1760.0,2000.0,1700.0,1740.0,1660.0,1600.0
10,HDFC_18-10-2018_09:30,1748.0,1800.0,1900.0,1760.0,2000.0,1700.0,1740.0,1660.0,1600.0
11,HDFC_18-10-2018_11:50,1748.0,1800.0,1900.0,1760.0,2000.0,1700.0,1740.0,1660.0,1600.0
12,HDFC_18-10-2018_15:32,1748.0,1800.0,1900.0,1760.0,2000.0,1700.0,1740.0,1660.0,1600.0
13,HDFC_19-10-2018_09:30,1745.9,1800.0,1900.0,1760.0,2000.0,1700.0,1740.0,1660.0,1600.0
14,HDFC_19-10-2018_11:50,1737.7,1800.0,1900.0,1760.0,1780.0,1700.0,1660.0,1600.0,1680.0
15,HDFC_19-10-2018_15:32,1665.0,1800.0,1900.0,1780.0,1760.0,1600.0,1640.0,1660.0,1620.0
16,HDFC_22-10-2018_09:30,1673.2,1800.0,1900.0,1780.0,1760.0,1660.0,1600.0,1640.0,1580.0
17,HDFC_22-10-2018_11:50,1674.8,1800.0,1900.0,1780.0,1760.0,1600.0,1640.0,1660.0,1560.0
18,HDFC_22-10-2018_15:32,1663.0,1800.0,1900.0,1780.0,1760.0,1600.0,1640.0,1660.0,1560.0
19,HDFC_23-10-2018_09:30,1674.0,1800.0,1900.0,1760.0,1780.0,1600.0,1640.0,1660.0,1560.0
20,HDFC_23-10-2018_11:50,1694.9,1800.0,1900.0,1700.0,1780.0,1600.0,1640.0,1660.0,1560.0
21,HDFC_23-10-2018_15:32,1691.9,1800.0,1900.0,1780.0,1700.0,1600.0,1640.0,1660.0,1680.0
22,HDFC_24-10-2018_09:30,1722.5,1800.0,1900.0,1780.0,1760.0,1600.0,1640.0,1660.0,1700.0
23,HDFC_24-10-2018_11:50,1711.4,1800.0,1780.0,1740.0,1900.0,1640.0,1700.0,1600.0,1660.0
24,HDFC_24-10-2018_15:32,1747.0,1800.0,1780.0,1900.0,1760.0,1700.0,1640.0,1600.0,1660.0
25,HDFC_25-10-2018_09:30,1723.1,1800.0,1780.0,1900.0,1740.0,1700.0,1640.0,1600.0,1660.0
26,HDFC_25-10-2018_11:50,1706.2,1800.0,1740.0,1780.0,1900.0,1600.0,1640.0,1660.0,1700.0
27,HDFC_25-10-2018_15:32,1703.15,1800.0,1900.0,1780.0,1740.0,1600.0,1640.0,1660.0,1680.0
28,HDFC_26-10-2018_09:30,1684.75,1800.0,1740.0,1900.0,1700.0,1600.0,1640.0,1580.0,1620.0
29,HDFC_26-10-2018_11:50,1700.0,1800.0,1740.0,1900.0,1700.0,1640.0,1600.0,1660.0,1680.0
30,HDFC_26-10-2018_15:32,1700.0,1740.0,1800.0,1900.0,1700.0,1640.0,1600.0,1660.0,1680.0
31,HDFC_29-10-2018_09:30,1683.15,1740.0,1800.0,1900.0,1700.0,1640.0,1600.0,1660.0,1680.0
32,HDFC_29-10-2018_11:50,1668.05,1800.0,1740.0,1700.0,1900.0,1660.0,1640.0,1600.0,1500.0
33,HDFC_29-10-2018_15:32,1708.95,1800.0,1740.0,1900.0,1720.0,1700.0,1500.0,1640.0,1660.0
34,HDFC_30-10-2018_09:30,1706.0,1800.0,1740.0,1900.0,1720.0,1700.0,1500.0,1660.0,1640.0
35,HDFC_30-10-2018_11:50,1675.55,1800.0,1700.0,1740.0,1900.0,1640.0,1500.0,1600.0,1660.0
36,HDFC_30-10-2018_15:32,1671.05,1800.0,1700.0,1740.0,1900.0,1660.0,1500.0,1600.0,1640.0
37,HDFC_31-10-2018_09:30,1693.15,1800.0,1700.0,1740.0,1900.0,1660.0,1500.0,1600.0,1640.0
38,HDFC_31-10-2018_11:50,1708.05,1800.0,1740.0,1900.0,1760.0,1700.0,1600.0,1660.0,1500.0
39,HDFC_31-10-2018_15:32,1767.2,1800.0,1900.0,1780.0,1840.0,1700.0,1600.0,1760.0,1720.0
40,HDFC_01-11-2018_09:30,1761.1,1800.0,1900.0,1780.0,1840.0,1700.0,1600.0,1760.0,1720.0
41,HDFC_01-11-2018_11:50,1755.55,1800.0,1900.0,1760.0,1780.0,1700.0,1740.0,1600.0,1640.0
42,HDFC_01-11-2018_15:32,1762.0,1800.0,1900.0,1840.0,1780.0,1700.0,1740.0,1760.0,1640.0
43,HDFC_02-11-2018_09:30,1789.0,1800.0,1900.0,1840.0,2000.0,1700.0,1760.0,1640.0,1600.0
44,HDFC_02-11-2018_11:50,1815.0,1900.0,1840.0,2000.0,1820.0,1700.0,1760.0,1740.0,1640.0
45,HDFC_02-11-2018_15:32,1820.2,1900.0,1860.0,1840.0,2000.0,1700.0,1640.0,1760.0,1740.0
46,HDFC_05-11-2018_09:30,1813.55,1900.0,1860.0,1840.0,2000.0,1700.0,1640.0,1760.0,1740.0
47,HDFC_05-11-2018_11:50,1793.8,1900.0,1800.0,1840.0,1860.0,1700.0,1760.0,1640.0,1740.0
