,Name,Curprice,R1,R2,R3,R4,S1,S2,S3,S4
0,RELIANCE_16-01-2019_23:39,1136.5,1140.0,1160.0,1200.0,1180.0,1080.0,1100.0,1060.0,1120.0
1,RELIANCE_16-01-2019_23:44,1136.5,1140.0,1160.0,1200.0,1180.0,1080.0,1100.0,1060.0,1120.0
2,RELIANCE_17-01-2019_09:00,1136.5,1140.0,1160.0,1200.0,1180.0,1080.0,1100.0,1060.0,1120.0
3,RELIANCE_17-01-2019_09:30,1142.6,1160.0,1200.0,1180.0,1300.0,1080.0,1100.0,1060.0,1120.0
4,RELIANCE_17-01-2019_10:00,1145.55,1160.0,1200.0,1180.0,1300.0,1080.0,1100.0,1120.0,1060.0
5,RELIANCE_17-01-2019_10:30,1144.95,1160.0,1200.0,1180.0,1300.0,1080.0,1100.0,1120.0,1060.0
6,RELIANCE_17-01-2019_11:00,1146.9,1160.0,1200.0,1180.0,1300.0,1100.0,1080.0,1120.0,1060.0
7,RELIANCE_17-01-2019_11:30,1143.8,1160.0,1200.0,1180.0,1300.0,1100.0,1080.0,1060.0,1120.0
8,RELIANCE_17-01-2019_12:00,1143.8,1160.0,1200.0,1180.0,1300.0,1100.0,1080.0,1060.0,1120.0
9,RELIANCE_17-01-2019_12:30,1136.0,1200.0,1140.0,1160.0,1180.0,1100.0,1080.0,1060.0,1120.0
10,RELIANCE_17-01-2019_13:00,1133.8,1140.0,1200.0,1160.0,1180.0,1100.0,1080.0,1060.0,1120.0
11,RELIANCE_17-01-2019_13:30,1134.75,1140.0,1200.0,1160.0,1180.0,1080.0,1100.0,1060.0,1120.0
12,RELIANCE_17-01-2019_14:00,1133.45,1140.0,1200.0,1160.0,1180.0,1080.0,1100.0,1060.0,1120.0
13,RELIANCE_17-01-2019_14:30,1136.5,1200.0,1140.0,1160.0,1180.0,1080.0,1100.0,1060.0,1120.0
14,RELIANCE_17-01-2019_15:00,1138.75,1200.0,1140.0,1160.0,1180.0,1080.0,1100.0,1060.0,1120.0
15,RELIANCE_17-01-2019_15:25,1134.8,1200.0,1160.0,1140.0,1180.0,1080.0,1100.0,1060.0,1120.0
16,RELIANCE_17-01-2019_15:32,1133.0,1200.0,1160.0,1140.0,1180.0,1080.0,1100.0,1060.0,1120.0
17,RELIANCE_18-01-2019_09:00,1133.0,1200.0,1160.0,1140.0,1180.0,1080.0,1100.0,1060.0,1120.0
18,RELIANCE_18-01-2019_09:30,1144.05,1200.0,1160.0,1180.0,1220.0,1100.0,1080.0,1140.0,1120.0
19,RELIANCE_18-01-2019_10:00,1140.8,1200.0,1160.0,1180.0,1300.0,1100.0,1080.0,1120.0,1140.0
20,RELIANCE_18-01-2019_10:30,1145.1,1200.0,1160.0,1180.0,1300.0,1100.0,1080.0,1120.0,1140.0
21,RELIANCE_18-01-2019_11:00,1149.3,1200.0,1160.0,1180.0,1220.0,1100.0,1080.0,1120.0,1140.0
22,RELIANCE_18-01-2019_11:30,1149.65,1200.0,1160.0,1180.0,1220.0,1100.0,1080.0,1120.0,1140.0
23,RELIANCE_18-01-2019_12:00,1151.45,1200.0,1160.0,1180.0,1220.0,1100.0,1080.0,1140.0,1120.0
24,RELIANCE_18-01-2019_12:30,1152.25,1200.0,1160.0,1180.0,1300.0,1100.0,1080.0,1140.0,1120.0
25,RELIANCE_18-01-2019_13:00,1153.2,1200.0,1160.0,1180.0,1220.0,1100.0,1080.0,1140.0,1120.0
26,RELIANCE_18-01-2019_13:30,1163.65,1200.0,1180.0,1220.0,1300.0,1100.0,1080.0,1140.0,1120.0
27,RELIANCE_18-01-2019_14:00,1172.9,1200.0,1180.0,1220.0,1300.0,1100.0,1140.0,1080.0,1120.0
28,RELIANCE_18-01-2019_14:30,1184.5,1200.0,1220.0,1300.0,1240.0,1100.0,1140.0,1080.0,1120.0
29,RELIANCE_18-01-2019_15:00,1180.3,1200.0,1220.0,1300.0,1240.0,1100.0,1140.0,1080.0,1120.0
30,RELIANCE_18-01-2019_15:25,1187.3,1200.0,1220.0,1240.0,1300.0,1100.0,1140.0,1080.0,1120.0
31,RELIANCE_18-01-2019_15:32,1185.8,1200.0,1220.0,1240.0,1300.0,1100.0,1140.0,1080.0,1120.0
32,RELIANCE_21-01-2019_09:00,1185.8,1200.0,1220.0,1240.0,1300.0,1100.0,1140.0,1080.0,1120.0
33,RELIANCE_21-01-2019_09:30,1207.15,1220.0,1240.0,1300.0,1280.0,1100.0,1140.0,1080.0,1120.0
34,RELIANCE_21-01-2019_10:00,1214.9,1240.0,1220.0,1300.0,1280.0,1100.0,1140.0,1080.0,1160.0
