,CallOI,CallChnginOI,CallVolume,CallIV,CallLTP,CallNetChng,CallBidQty,CallBidPrice,CallAskPrice,CallAskQty,StrikePrice,PutBidQty,PutBidPrice,PutAskPrice,PutAskQty,PutNetChng,PutLTP,PutIV,PutVolume,PutChnginOI,PutOI,CurrentVal
0,-,-,-,-,-,-,50,627.85,1399.80,50,14500.00,-,-,-,-,-,-,-,-,-,-,15551.4
1,-,-,-,-,-,-,50,569.10,-,-,14600.00,-,-,-,-,-,-,-,-,-,-,15551.4
2,-,-,-,-,-,-,50,511.05,-,-,14700.00,-,-,-,-,-,-,-,-,-,-,15551.4
3,-,-,-,-,-,-,50,454.15,-,-,14800.00,-,-,-,-,-,-,-,-,-,-,15551.4
4,-,-,-,-,-,-,50,398.70,-,-,14900.00,-,-,-,-,-,-,-,-,-,-,15551.4
5,-,-,-,-,-,-,50,345.25,-,-,15000.00,-,-,-,-,-,-,-,-,-,-,15551.4
6,-,-,-,-,-,-,50,294.55,-,-,15100.00,-,-,-,-,-,-,-,-,-,-,15551.4
7,-,-,-,-,-,-,50,247.15,-,-,15200.00,-,-,-,-,-,-,-,-,-,-,15551.4
8,-,-,-,-,-,-,-,-,-,-,15700.00,-,-,-,-,-,-,-,-,-,-,15551.4
9,-,-,-,-,-,-,-,-,-,-,15800.00,-,-,-,-,-,-,-,-,-,-,15551.4
10,-,-,-,-,-,-,-,-,-,-,15900.00,-,-,-,-,-,-,-,-,-,-,15551.4
11,-,-,-,-,-,-,-,-,-,-,16000.00,-,-,676.15,50,-,-,-,-,-,-,15551.4
12,-,-,-,-,-,-,-,-,-,-,16100.00,50,334.95,872.20,50,-,-,-,-,-,-,15551.4
13,-,-,-,-,-,-,-,-,-,-,16200.00,50,400.40,1021.55,50,-,-,-,-,-,-,15551.4
