,CallOI,CallChnginOI,CallVolume,CallIV,CallLTP,CallNetChng,CallBidQty,CallBidPrice,CallAskPrice,CallAskQty,StrikePrice,PutBidQty,PutBidPrice,PutAskPrice,PutAskQty,PutNetChng,PutLTP,PutIV,PutVolume,PutChnginOI,PutOI,CurrentVal
0,-,-,-,-,-,-,-,-,-,-,14800.00,-,-,-,-,-,-,-,-,-,-,15589.0
1,-,-,-,-,-,-,200,11.00,-,-,14900.00,-,-,-,-,-,-,-,-,-,-,15589.0
2,-,-,-,-,-,-,200,11.00,-,-,15000.00,-,-,-,-,-,-,-,-,-,-,15589.0
3,-,-,-,-,-,-,200,11.00,-,-,15100.00,-,-,-,-,-,-,-,-,-,-,15589.0
4,-,-,-,-,-,-,200,11.00,-,-,15200.00,-,-,-,-,-,-,-,-,-,-,15589.0
5,-,-,-,-,-,-,200,5.00,-,-,15300.00,-,-,-,-,-,-,-,-,-,-,15589.0
6,-,-,-,-,-,-,200,1.00,-,-,15400.00,-,-,-,-,-,-,-,-,-,-,15589.0
7,-,-,-,-,-,-,200,1.00,-,-,15500.00,-,-,-,-,-,-,-,-,-,-,15589.0
8,-,-,-,-,-,-,200,0.10,-,-,15600.00,-,-,500.00,50,-,-,-,-,-,-,15589.0
9,-,-,-,-,-,-,-,-,190.00,50,15700.00,-,-,-,-,-,-,-,-,-,-,15589.0
10,-,-,-,-,-,-,-,-,-,-,15800.00,-,-,-,-,-,-,-,-,-,-,15589.0
11,-,-,-,-,-,-,-,-,-,-,15900.00,-,-,-,-,-,-,-,-,-,-,15589.0
12,-,-,-,-,-,-,-,-,-,-,16000.00,-,-,-,-,-,-,-,-,-,-,15589.0
13,-,-,-,-,-,-,-,-,-,-,16100.00,-,-,-,-,-,-,-,-,-,-,15589.0
14,-,-,-,-,-,-,-,-,-,-,16200.00,-,-,-,-,-,-,-,-,-,-,15589.0
